id	sentiment	tweet
6915	POS	Them 12s sweet
1638	POS	@SpiritualState_ I’m telling you that iPhone camera settings be live
1896	POS	#BlendersPrideFashionTour<br/>Styles come to the city which is more than street food #MoreThanYouThink<br/>@bpft2017 @bpft2017
4960	POS	@TheMillenielle you are correct. #food
2623	POS	Need 2 for 4v4 GB Xbox w/@bRaVuRy1  35 mins
2875	POS	@AmericanRising @mikerzer @JHWalz32 @GeraldYak420 @M3Mys3lf4ndl @lupash7 @jwsnyder00_john @KCarslin @ShariRomine Cooking and getting up 🍁🍂🍃
4087	POS	Boi spurs got me lit @ PPP
38	NEG	the most fucked up part of growing up is people expecting you not to cry because you have to be strong all the time
733	POS	see asian porn sexy in the office
3281	POS	I speak facts and currently #hoodrichpablojuan the best rapper alive besides @S_C_
4851	POS	@jogrant77 @4beige_pups it’s what solar said in the video about it djsjsk watch
1663	POS	if my life had theme music playing it would be 80s vapor j-pop
3053	POS	Let’s go @OsceolaHigh football 🏈 playoffs!!💙💛
92	POS	Clarkson is the best player on Lakers. Idc.
2724	POS	@EDiddy__ I always cook so hush
3965	NEG	I am so hungry 😭😭
1743	NEG	@LenovoCSJ Why is #JediChallenges NOT compatible with iPhone X
961	POS	Wish i was at home taking a candle lit bath while playing classical Christmas music
753	NEG	There's a lonely life livin on the road <br/>When the only friend youve got is the radio <br/>&amp; even he fades n &amp; out every now &amp; then<br/>#AaronWatson
3432	POS	@NFL Rams super bowl bound
74	NEG	Domantas Sabonis said still a game-time decision (illness) but is warming up before game. Remember his last "sick game" vs Spurs?
6655	POS	@amber_luda Can I be that guest that ends up on the wedding video blacked out?
3335	POS	@KwadeSays Portland Mongolian Grill (formerly known as Stir Fresh) and Yummy Mongolian Grill. Both are cheaper for lunch.
4905	POS	Final Score Update 🏀<br/><br/>Girl's Varsity Basketball <br/>Lakeland 53<br/>Prairie Heights 36<br/><br/>1-0 in NECC Play <br/><br/>FINAL
5139	NEG	@obby yes i’ve tried google firefox fuckimg opera literally everything
6803	POS	The World Hockey Association was a rival hockey league from 1973 to 1979
4270	NEG	KCP nails deep 2. #lakers down 114-105.
6941	POS	@discordapp where  can i pick up some sweet discord merch
6021	POS	@PercivalPenman Yup.<br/>You can tell it's a lil sumthin to hold you over til her actual album tho
6764	NEG	time. is speeding up. don’t believe me? i used. to eat dinner. before it got dark. now i eat dinner. as it’s getting dark. checkmate
1083	POS	just listened to my whole album whilst ripping online kart. talkin Lakitu on the splat buggy with the fatty quad tires 💪
4656	POS	@jojourdanjojo Soul Vegetarian. There's 2 one is cafeteria style, the other has a menu and you choose your meal
6726	POS	@zpln_ @ThePunisher @jonnybernthal Can you watch it without having seen Iron Fist or the Defenders?
6274	POS	Oh I love Pink. The singer not the color.
1887	POS	I'm so grateful to have scored a job that I like but ALSO THAT I GET TO EAT GOOD FOOD FOR FREE
3888	POS	I wanna go on an ice skating date this winterrr
758	POS	@tauriqmoosa Hard pass. Give me inventory Tetris AND weight limits in every game.
3068	POS	I️ wish I️ could just drop my album today
562	NEG	Cloud &amp; Wii Fit Trainer go to Corneria for a horrible evening of missionary with extended eye contact.
1451	POS	@CandiceAiston @sexygirl798 Make that white Evangelicals, please
4649	POS	@__Malikb I’m not surprised. She’s been hella bitter and shady since the olympics. This was just the cherry on top.
4771	NEG	Nothing like realizing the food network has been forever ruined. #icproblems
529	NEG	@Iacoguy @BuffyBlog It's a guy who never could make college ball let alone NFL singing about the things he's considering taking in the ass.
2437	NEG	jesse lacey, morrissey, crystal castles. keep em coming. get 'em out of here. purge the alt scene of these scumbags.
4840	POS	Mitzy was like “all I wanted was some fucking chicken nuggets” ahhaha so we went and got 40 nuggets lmao 🤷🏻‍♀️🤣
5701	POS	The Greatest Showman: No idea how good the movie will be, but the anachronistic music will always take me out of it. #TrailerTalk #Wonder
4267	POS	@NXTMattBloom NEVER! Sweet T 4 Life!
5648	NEG	@MicrosoftEdge Edge keep crashing on my android device. Can't open it.
5845	POS	Quiero ir al cine a ver Thor because my mans Chris Hemsworth and Mark Ruffalo are unproblematic babes and deserve all the love
1646	POS	@lovmilfs in hp not your uni (I assume)
421	POS	anal mom movie beautiful couple having sex nude photos of mississippi girls free wap sex 3gp
2756	NEG	I have to learn to cook for one person. I made so much food last night and now I have to freeze most of it. Smh.
3278	POS	Oddly satisfying! Oka 10mins rod oka 10 mins good laga 3 hrs nadchndi movie! <br/>Watchable but too lengthy! <br/>👍<br/>#Adhirindi
4246	POS	@TheFeralLaura @TheVenomUser Oh sweet
37	POS	The new Red video was so fun to make. I got a ton of bloopers going in the next, so look out for that!
3914	NEG	@CNNnews18 Kashmiris are not Indians amd thry want Indian mercenary soldiers quit Kashmir.
2921	POS	@taeiae @Unknownluh I want to see this video forever
4913	POS	First game on call of duty on the xbox &amp; it crashes. Guess I am not supposed to play that, who wants to play something?
2472	POS	Iphone 8/ 8Plus or X ... mostly use it for camera. Help Geeks.
5027	POS	So ready for the holidays and the lights and the food. 🦃🎄☃️🍗🥐🎅🏼🦌❄️
4754	NEG	I have been watching this Kate Winslet movie and I am disturbed. Basically she's been diddling a teenage boy and also was part of the SS
5911	POS	@gyunikum wtf this is so cool. i used to do pixel art way back in the day but could never do anything this cool
6971	NEG	Roman just got a Babyface pop during a match against New Day... What is life.
808	POS	@DaAnsahonSports I'd probably give best rookie ever to Magic. No rookie will ever lead their team to a championship and win Finals MVP again
5912	POS	@hinatasass GUH i never could get past the first 2 seasons it just never caught my attention enough but ILL TRY THIS TIME
3024	NEG	And we're underway at Resch Olympic Pavilion...St. Norbert women's hockey vs. Concordia University Wisconsin. #d3hky
2224	POS	@TheMuzz78 @Acadicus @polska_canuck @RioTheatre I can’t wait to see it in a regular movie theatre!
4750	POS	Take me back to the night we met. 🌌🌙💙
2146	NEG	i was crying and singing to my parents about how this was my last football game ever and they were like ‘OK’ and ignored me... smh fake
7027	NEG	Jason Momoa, Amber Heard, and Gal Gadot in one movie....👀
525	POS	@LyndaObst We figured. - Josh from The Studio's Office.
2453	NEG	@Lakers Lakers need to stop trying to force three's when not necessary its killing them.. #LakeShow
112	POS	@Anydo is there any chance we see an UI/UX update for the iPhone X? #ios11
3864	NEG	@T_Holden22 @_YoungCurtis Fat you lie bad.
4590	POS	On the plus side, I have leftover fried chicken waiting for me at home.
893	NEG	You can’t compare NFL and NBA ratings
5872	POS	@mattwhit24 I’m on a diet
6761	POS	Hoping that my mom is gonna surprise me w the iPhone 8 when I get home tonight. 😇
1529	NEG	I feel like there’s so much drama in the scene because y’all stay worried about who’s fucking who. Like mind yours.
6695	POS	I’m giving away two one month Xbox game passes. Follow &amp; RT for your chance to win a code. I’ll pick two winners on Saturday. #Xbox
1602	POS	I need FOOD
233	POS	I'm "rented VHS porn in a back room at a family video store" years old.
4402	POS	3rd &amp; 4 Rangers at their own 33.
3577	POS	Still fat and Lazy <br/> #2017In4Words
4522	NEG	Spurs game got me so damn hype #GOSPURSGO
1515	POS	there’s some boys that just dumb but then there’s the sweet ones who get label as dumb because of the dumb ones. 🤦🏻‍♀️
2205	POS	Christmas is next month. Tunde Ednut is already in the studio cooking up his yearly  Jingle Bell song featuring somebody else again 😂😂
2377	POS	@Farrellesss That moment when you play on PlayStation
1090	POS	@jessconte On android this one is a plain pink heart --&gt; ❤️
1295	POS	@vignan2 Inthaki Buffalo wings chicken thone na chesedhi :p
1105	NEG	@grodriguezlg i despise this video but can never stop watching it when it comes on omg
2640	POS	Me: *says something in Chinese* what did I say?<br/>Caius: something sweet?<br/>Me: I just said you’re smelly.<br/>Caius: W OW.
3367	NEG	Is it just me or did the camera in the iPhone 7 get worse when they released the X?
3412	NEG	@MattRobinson_99 @ImAcryl @TyTyRan_ Sums it up really. Xbox is full of kids with no thumbs
809	NEG	I wanted cereal for breakfast but I don’t have lactose free milk. 😞
3472	POS	@mynameisbriiiii I’m still tryna figure out how unapologetic won a Grammy for best urban contemporary album
4263	POS	@GilbertPDChief @GilbertPolice @GilbertYourTown I’m staying clear of Dwtn and runners route! Coffee &amp; breakfast on cool patio
2370	NEG	idk if it’s just my TV but the background music is hella louder than the singer &amp; it is hella irritating me
5274	POS	I had steak and eggs for breakfast protein yep 👍
911	POS	For whatever reason I never use Siri on iPad or Mac. It only really makes sense to me on my iPhone.
5417	POS	Avery promised us breakfast last night and Emma just woke up and went into his room and is listing the things he promised bc she’s hungry😂
3075	POS	Ring of Honor, NXT and my Spurs are in San Antonio tonight. What a time.
6930	POS	@darrenjdepaul Bro!! You’re not alone. Every championship Lebron doesn’t win brings a smile to my face
722	NEG	Anime niggas getting banned left and right<br/>Dril doxed<br/>App on Android is still garbage<br/>No justice on this fucking site.
4235	POS	i want asian food so bad rn
1813	NEG	Busted the Nintendo Wii out for the first time after moving - playing Super Mario Galaxy btw and my save life is gone 😦
93	POS	Get your #brunch on with us! From French Toast to Breakfast Burritos, we’ve got it all!
578	POS	In a fantasy basketball league didn't kno it was just interesting
5631	POS	Kids are gone for the night so...late night date with the wifey. Time to see if the new Thor is as great as everyone says.
6888	POS	Ya WCW went out to eat and ordered chicken strips again...........
6859	POS	apple took $47 off my card.
5047	POS	@realbuntyking Sweet dreams and bountiful memes
547	POS	3/ If any more corroborative info becomes available, will post it. Please do same as this is very important in either case. Thanks all! End
880	POS	@HeartBreakMoe It’s gunna smell like cats and cigarettes
3881	POS	Trying out pop tarts and ice cream for the first time 😍😍
3205	NEG	pretty baddies
2285	NEG	You hold no weight 😏
4926	POS	The credits of this movie are rolling, time for the #VernonJ credits to also roll.<br/><br/>Good Night
2651	NEG	I see the Lakers lost to the sorry ass Suns.<br/>Had a feeling that would happen.<br/>Sorry ass fucks...
6977	POS	Thus far this Wake Forest basketball season is like the 1987-88 team. (Note, that team actually won 10 games).
5874	POS	Joy is showing your parents who used to be Black Panthers the Black Panther trailer for the first time.
3170	NEG	@LyricOpera Flute redux:<br/>#QueenoftheNight: Yeah, I didn't much like Pamina anyway.<br/>&lt;and scene&gt;
4231	POS	i want fried chicken
6446	POS	We cooking something hot fam!!!<br/>Be prepared for them<br/>You large!! <br/>#welarge
2207	POS	Seattle (WA) Times: Mookie Betts might be the best two-sport athlete since Bo Jackson
3185	POS	@RadioJesuit ray bulger 67 founder of lone rangers follow every game go rangers and lone rangers 50 years
5608	POS	the moana soundtrack is such a bump
1373	POS	@urbandoll iPhone X right here 🤑
4399	POS	I️ stay tryna slide my android screen up lol
2848	POS	Officially sweet sixteen bebeh 😎
5390	POS	@kylekuzma  is the best rookie on the Lakers might even be there best player! #MichiganStandUp #FutureStar
1968	NEG	Morning people 😘
3688	NEG	Everyone is not your assignment! Ask God first!
1931	POS	@ForgottenNamer Every video I say "What's up Soldiers"
3924	POS	@LakerFilmRoom Just throwing this out there. Until Lonzo can effectively score the basketball I expect for us to continue to lose games.
6080	POS	Weather 11/19/2017 12:15 AM: 42.6F 83% humidity 29.658inHg Wind S/0.00mph Rain today None
4321	POS	Much like the Great Barrier Reef is a rapper making a comeback.
222	NEG	Bro why are you broadcasting everything that happened to you you just got roped shut the fuck up and be humble
1508	POS	Early in this first period the Lakers strike first! Credit the goal to the sophomore Molinaro
2343	POS	jazz is nice
4765	POS	Back to 5-on-5 hockey in Providence. 7:52 remaining in the opening period. 2-0 Hershey #HBH
2204	POS	Friday night TEXAS high school playoff football🤠🏈#CheerleaderDad
2881	POS	@Jayman_IWS that would have been exciting. I didn't see any curling but it was on earlier...also some college hockey is on.
3355	POS	I NEED THE VIDEO NOW
5895	POS	Secured the bag then secured the dick. Successful weekend.
5155	POS	True love is letting them have the last bite of food.
