2425	NEG	hey sooo uh if you have an iphone go to ur photo and search "brassiere" and lmk what u see bcccc im trippin the fuck out..
4194	NOT	If you wanna find where I live, follow the trail of chicken bones from Jewel on Archer/Western to me.
1016	NOT	FOX Producers Not a controversial decision has been hospitalized and Winter Olympics. They're also a torcida do
3019	NOT	@jayleenlynn It's late anyways just have sleep for dinner
171	NEG	@nicolaschevobbe @firefox @potch LOL and "help" is useless. I gave up. Maybe it just doesn't like HP
2817	NOT	Party Pro tip: if you're out past 6 hours always bring a little snack
936	NEG	which iphone do i get?? pls help i’m the worst decision maker is2g
4466	NEG	I miss football :(
2002	NEG	I just had the worst chicken burger of my life I feel like martins it hurts to spend money on food that didn't bang 💔
2061	NEG	I’m breaking out like fuck I needa stop eating junk food and fast food every week 😂
2826	NEG	The football nerds on here all subtweet each other &amp; have ongoing football take feuds. It’s insanely embarrassing
2214	NOT	@Brendang2392 As your knee hockey teammate I feel the need to find these individuals and check them repeatedly #ThatsMyGoalie
3764	NOT	@Sobou Yup, Wii U and 3DS isn't going anywhere yet.
2627	NOT	I love the basketball girls (‘:
2046	NEG	Luke Walton stfu you can't coach at all you're not the right person for the Lakers job
1844	NOT	Ice cream + Riverdale = ❣️
1421	NOT	“Into You” is “Sweet Caroline” for gays
3387	NOT	So excited for next weekend! My first football game and my first time being up north. Can’t wait 🙌🏼🍻🏈
553	NOT	@Lakers @SpectrumSN @spectdeportes who got a nice stream ?😇
2302	NEG	@dancersue1 @CTVNews I give a rats ass what you think you fat ass bitch , no wonder your spouse  left you , look st yourself
2269	NEG	THE ONLY THING I HATE MORE THAN MICHAEL KORS IS A KUTE FEMALE IN MICHAEL KORS.
2669	NEG	Every Christmas movie on W has the exact same TERRIBLE plot but here I am watching them anyway
3196	NEG	Suarez you fat fuck get some confidence now
450	NEG	why does nyongtory nd gtop stan beef exist. Are we THIS bored??? Fighting other vips over a ship...tragic
1892	NOT	What's the dopest restaurant in Ventura county for breakfast
1243	NOT	Need some fried chicken and Pepsi 🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗
1604	NOT	Hello Tokyo Japan locked in to Wayne County football on the net
3822	NOT	4A D1 State Championship Game:<br/>1pm Nov 25 at Topeka Hummer Sports Park<br/><br/>Andale vs Bishop Miege<br/><br/>#CatchitKansas
1330	NOT	Anyone wanna get down on some Xbox tournaments tonight  ?
3298	NOT	Folks be wanting to go out and we got full tornado warnings smh talking about “what’s the move”
373	NEG	Cloud &amp; Wii Fit Trainer go to Corneria for a horrible evening of missionary with extended eye contact.
4546	NOT	This album is nice so far, a good successor to The Red, I'm glad they got a better Velvet album
2605	NEG	cunt Haskell can eat dog food, keemstar emotional distress caused by keemstar, silence
4270	NOT	breakfast dates should be more of a thing
162	NOT	@HPEmichael @CourierTSports @Tweet_the_Wheat Lady basketball trails EDHS 19-20 at the half.
1122	NOT	Goodnite good people! Cant keep these eyes open ANY longer. Sweet dreams! :-)
203	NOT	@ijessicasyj I had a nice lunch, how about you eonni
4214	NOT	I need food, I haven’t ate in two days, whoops
536	NOT	@MKBHD Wow. You never bring up Pixel
716	NEG	I hate the poisonous fog/most scene😫 #CatchingFire
666	NEG	Holy god I wanna die
4522	NOT	@cgamrath big hockey rink girl but i’ll have to pass
1503	NOT	A Hershey's bar is an acceptable breakfast right?
4006	NEG	this fucking I️ shit stupid as fuck!! Fuck around and get a android
550	NOT	There’s apparently a churro and ice cream shop called Loop and Scoop and me and the kid are going to stuff our faces.
1045	NEG	playing xbox all fucking day cuz you cool af right
785	NEG	RufhehfuduBEUFUDUZ im@gonna kms I just got hit with a wave of depression
4285	NOT	Win this one to go above.500 and the Bills will be squarely "in the hunt." Prediction: Bills.. "I played football for 10 years ...
773	NEG	The movie Death that pissed me off the most was Johnny Cage
1727	NEG	lrt who the fuck sits in the editing room and cuts Any scene involving ezra miller as barry allen out
745	NOT	@joevardon And the Cavs are shitting the bed.
2557	NEG	Every day is truly a constant struggle when you're a fat ugly retarded piece of shit like myself
2036	NOT	@RpSamandrielSPN //well ya killed my heart strings with this adorable one, I think I can do this scene :)
156	NEG	#takedownmilliebobbybrown she is a  "fat" shamer , racist  and might be a white supremacist ? TAKE HER DOWN
3368	NOT	Y’all don’t know what a good movie is lol 😝
3546	NOT	@VZWNow @TMobile @VZWNow I’m switching away from @ATTCares. Can I bring my existing iPhone to either of your networks?
4496	NOT	@GraceRandolph @wbpictures oooh grace yay i love this video. amazing work with that montage m'lady!!
582	NEG	I need a new iPhone. My screen is about to fall out, my volume button broke, my Touch ID broke, and my microphone barely works 😫
3160	NEG	@Blackrosee_29 For reals my internet acts stupid af when i leave the xbox in power saving or on.
4318	NEG	@Marmel JFC @PaulRyan that $700 won't even buy the new iPhone! #GOPTaxPlan #GOPHealthcareRobbery
981	NOT	Four vegetarian burgers, a movie before I put on the hockey for the evening. #Content #LifeisBeautiful
994	NOT	Wanna lay in bed, watch a good movie, snuggle &amp; drink hot chocolate 😍❄️☕️
3274	NEG	Basketball is kicking my butt this season🤕😅
3125	NEG	If i can’t eat spaghetti while watching a movie, I’m leaving
681	NEG	@TREDICl nah pixel 1, lost my pixel 2 somewhere :(
966	NEG	Disappointed with pnb new album ... he only got one good song on there smh
492	NOT	@pineshrub @bxsicallykarenn I love eggs they r so yum
2572	NEG	can’t believe that was my last high school football game... time flies )):
3432	NOT	Reply one time to this tweet. I’m reading everything.
572	NEG	crap my brother an invalid SSL certificate for everything. My Xbox controller broke
3352	NEG	Got the iPhone X and I already hate it
1572	NOT	Fall out boy is so good. The singles off their newest album are...well, they’re growing on me. AB/AP was excellent though
2445	NEG	@CobraKeiser @Belairviv These so called liberal feminists are so pathetic, their principles as flexible as a strand of soggy spaghetti
2001	NEG	This new iPhone update is terrible
652	NOT	watching The Devil Is a Part-Timer!
2275	NEG	This iPhone update is ugly as fook.
1042	NOT	@VexyTheGoat Realtalk I will pay cash money to cuddle in boxers and a hoodie on a misty afternoon
1737	NEG	An expensive fucking fat prick
1368	NEG	I was on trying to order my S8+ but it seems like Apple really hates android. Wouldn’t let me checkout.
1601	NEG	I knew Gabby Douglas and her teammates didn’t really gel like that when I watched this past Olympics, but she’s truly trash. Bye, girl.
2241	NOT	and then they just went Oh Sounds Like A Scam. and now i am perma-banned from xbox live
356	NOT	@blumtime @JimJoKelly do you play Rocket League? I'm getting it on Switch since there's cross play with Xbox
3683	NEG	@CNET Told ya, iphone sucks, overpriced piece of shit
3608	NEG	Wishing I had an Xbox One to play #StarWarsBattlefrontII on 😩
3940	NOT	Where my Xbox free agents with comp experience at?  @2KCrewFinder @WalkOnWarriors #2kfreeagent
1380	NOT	So you told yourself you were going to try a keto diet and bought a bunch of tilapia you want nothing to do with. Now what?
3016	NOT	Cup of noodles &gt; ramen
4280	NOT	@emmaschuetz Emma please update your iPhone I’m begging you
1658	NOT	@KrishnaBharadw4 @SirBullyMammoth Food and books are not comparable. That's apples and oranges.
4507	NOT	@pshh_rob where yo iPhone?💀💀💀
688	NOT	I should know better than to talk any smack about the Spurs...especially with this Thunder team
954	NOT	@backwards android user
3551	NEG	@alaskutahn Weird looking movie.
2731	NOT	Done rocking heavy for people who wouldn’t do the same for me 💯
585	NEG	If Lonzo could play with any real effort the Lakers would be really good but he’s weak!
3281	NEG	The fact jess and I️ never cook but attempted breakfast... fail
789	NOT	@IgnatiusUnderh2 @gWinbags @peregrinator1 Thor and Asgard lost big
2839	NOT	@br_CBB hard watching these college basketball games, everybody jacking 3s
4136	NEG	Burger King is worse than cancer
